Breast/Ovarian Cancer Gene List

Gene_name	NCBI
AR	NM_000044
ATM	NM_000051
BARD1	NM_000465
BRCA1	NM_007298
BRCA2	NM_000059 
BRIP1	NM_032043 
CASP8	NM_001080124 
CDH1	NM_004360 
CHEK2	NM_001005735 
DIRAS3	NM_004675 
ERBB2	NM_001005862 
NBN	NM_002485 
PALB2	NM_024675 
PTEN	NM_000314 
RAD50	NM_005732
RAD51	NM_001164269 
STK11	NM_000455
TGFB1	NM_000660
TP53	NM_000546
MLH1	NM_000249
MSH2	NM_000251
MSH6	NM_000179
PMS2	NM_000535
EPCAM	NM_002354
RAD51C	NM_002876
RAD51D	NM_002878
